unique_id,detection_datetime,seconds_in,run_dist,x_distance,velocity,grid_dist,detection,brand,cover,canopy,shrub,temp
RM-19-9,2022-03-28T12:57:16Z,4,20,5,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:57:53Z,6,20,10,2,1,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:58:11Z,4,20,10,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:58:33Z,6,20,10,2,2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:58:46Z,4,20,10,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:59:03Z,6,20,10,2,2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:59:16Z,3,20,10,2,-5,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:00:03Z,6,20,12,2,2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:00:16Z,3,20,12,2,-4,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:00:32Z,4,20,12,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:00:47Z,5,20,12,2,0,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:01:02Z,5,20,12,2,0,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:01:16Z,4,20,12,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:02:34Z,7,20,15,2,4,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:02:52Z,5,20,15,2,0,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:03:12Z,4,20,15,2,-1,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:03:32Z,4,20,15,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:03:48Z,5,20,15,2,0,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T13:04:02Z,5,20,15,2,0,1,reconyx,68.06,49.25,83,4
RM-19-6,2022-03-28T13:17:32Z,2,20,3,3,-4,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:19:01Z,3,20,3,2,-2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:19:23Z,4,20,3,2,0,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:19:34Z,2,20,3,2,-5,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:20:02Z,4,20,5,2,0,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:20:14Z,3,20,5,2,-3,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:20:48Z,4,20,5,2,-2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:20:50Z,6,20,5,2,2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:13Z,4,20,5,2,-2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:38Z,2,20,10,2,-6,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:39Z,3,20,10,2,-4,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:41Z,5,20,10,2,0,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:51Z,2,20,10,2,-6,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:53Z,4,20,10,2,-2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:21:54Z,5,20,10,2,0,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:08Z,2,20,10,2,-6,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:10Z,4,20,10,2,-2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:12Z,6,20,10,2,2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:21Z,2,20,10,2,-6,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:23Z,4,20,10,2,-2,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:24Z,5,20,10,2,0,1,cudde,87.5,7.75,100,4
RM-19-6,2022-03-28T13:22:38Z,2,20,10,2,-6,1,cudde,87.5,7.75,100,4
